V2X_MESSAGE_TRANSMISSION;10400000000;84;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10500000000;85;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10600000000;86;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10700000000;87;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10800000000;88;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10900000000;89;veh_0;AutobotMessage
VEHICLE_UPDATES;11000000000;veh_0;52.512294369471576;13.3191197317926;13.510554791588802;84.71138280285943
VEHICLE_UPDATES;11000000000;veh_1;52.51217685241975;13.317870017622964;12.9747718208679;84.71153588196714
V2X_MESSAGE_TRANSMISSION;11000000000;90;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11100000000;91;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11200000000;92;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11300000000;93;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11400000000;94;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11500000000;95;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11600000000;96;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11700000000;97;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11800000000;98;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;11900000000;99;veh_0;AutobotMessage
VEHICLE_UPDATES;12000000000;veh_0;52.51230823047978;13.319315414055888;13.313159025551286;84.71138280285943
VEHICLE_UPDATES;12000000000;veh_1;52.51218946091697;13.318047994248527;12.215175235513598;84.71153588196731
V2X_MESSAGE_TRANSMISSION;12000000000;100;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12100000000;101;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12200000000;102;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12300000000;103;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12400000000;104;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12500000000;105;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12600000000;106;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12700000000;107;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12800000000;108;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;12900000000;109;veh_0;AutobotMessage
VEHICLE_UPDATES;13000000000;veh_0;52.512322547958604;13.319517545445127;13.751913237778936;84.71138280285943
VEHICLE_UPDATES;13000000000;veh_1;52.51220282589779;13.318236653332514;12.948342654432636;84.71153588196732
V2X_MESSAGE_TRANSMISSION;13000000000;110;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13100000000;111;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13200000000;112;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13300000000;113;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13400000000;114;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13500000000;115;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13600000000;116;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13700000000;117;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13800000000;118;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;13900000000;119;veh_0;AutobotMessage
VEHICLE_UPDATES;14000000000;veh_0;52.51233691277773;13.319720350200068;13.797715844339692;84.71138280285948
VEHICLE_UPDATES;14000000000;veh_1;52.51221485621037;13.318406476062034;11.655529667492956;84.71153588196732
V2X_MESSAGE_TRANSMISSION;14000000000;120;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14100000000;121;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14200000000;122;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14300000000;123;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14400000000;124;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14500000000;125;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14600000000;126;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14700000000;127;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14800000000;128;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;14900000000;129;veh_0;AutobotMessage
VEHICLE_UPDATES;15000000000;veh_0;52.51235094943414;13.31991852676433;13.48283010091167;84.71138280285943
VEHICLE_UPDATES;15000000000;veh_1;52.512227526580254;13.318585337806567;12.275901690227911;84.71153588196714
V2X_MESSAGE_TRANSMISSION;15000000000;130;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15100000000;131;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15200000000;132;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15300000000;133;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15400000000;134;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15500000000;135;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15600000000;136;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15700000000;137;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;15800000000;138;veh_0;AutobotMessage
